Gene,Main location,Other location,Expression type,Reliability
ENSG00000139364,Cytoskeleton (Microtubules),,Staining,Uncertain
ENSG00000139370,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000139405,Nuclear membrane,Vesicles,Staining,Uncertain
ENSG00000139410,Cytoplasm,,Staining,Uncertain
ENSG00000139428,Mitochondria,,Staining,Supportive
ENSG00000139437,Plasma membrane,Cytoplasm;Centrosome,Staining,Supportive
ENSG00000139438,Nucleus but not nucleoli;Mitochondria,Plasma membrane;Focal Adhesions,Staining,Uncertain
ENSG00000139505,Nucleus;Cytoskeleton (Actin filaments),Plasma membrane;Cytoplasm;Focal Adhesions,Staining,Uncertain
ENSG00000139508,Plasma membrane;Cytoplasm,Cytoskeleton (Actin filaments),Staining,Uncertain
ENSG00000139514,Nucleoli,,Staining,Non-supportive
ENSG00000139517,Vesicles,Plasma membrane;Cytoplasm,Staining,Uncertain
ENSG00000139531,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000139537,Nucleus;Cytoplasm,,Staining,Uncertain
ENSG00000139540,Nucleus but not nucleoli;Cytoplasm,,Staining,Non-supportive
ENSG00000139547,,,Staining,Uncertain
ENSG00000139567,Mitochondria,Cytoplasm,Staining,Uncertain
ENSG00000139572,Nucleoli,Nucleus;Cytoplasm,Staining,Non-supportive
ENSG00000139579,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000139597,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000139613,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000139617,Cytoplasm,,Staining,Uncertain
ENSG00000139618,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000139620,Plasma membrane;Cytoplasm,Nucleoli;Cytoskeleton (Microtubules),Staining,Uncertain
ENSG00000139624,Nucleoli,Nucleus,Staining,Uncertain
ENSG00000139626,Plasma membrane;Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000139629,Nucleoli;Cytoplasm,,APE,Low
ENSG00000139637,Cytoplasm,Cytoskeleton (Intermediate filaments),Staining,Non-supportive
ENSG00000139641,,,Staining,Uncertain
ENSG00000139645,Mitochondria,Nucleus;Cytoplasm,Staining,Uncertain
ENSG00000139651,Nucleus,,Staining,Uncertain
ENSG00000139656,Cytoskeleton (Microtubules),Cytoplasm,Staining,Uncertain
