Gene,Main location,Other location,Expression type,Reliability
ENSG00000000003,Cytoplasm,Nucleoli,Staining,Uncertain
ENSG00000000005,Nucleus but not nucleoli,Mitochondria,Staining,Uncertain
ENSG00000000457,Cytoskeleton (Microtubules),Nucleus but not nucleoli;Golgi apparatus,Staining,Uncertain
ENSG00000000460,Nucleus but not nucleoli;Mitochondria,,APE,Low
ENSG00000001036,Nucleus but not nucleoli;Mitochondria,,APE,Low
ENSG00000001084,Nucleus,Nucleus but not nucleoli;Cytoplasm,Staining,Uncertain
ENSG00000001460,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000001461,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000001497,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000001561,Nucleus but not nucleoli;Vesicles,Mitochondria,Staining,Uncertain
ENSG00000001617,Nucleus;Nucleoli,Endoplasmic reticulum,Staining,Uncertain
ENSG00000001626,Cytoplasm,,Staining,Uncertain
ENSG00000001629,Plasma membrane,Nucleus but not nucleoli;Cytoplasm,Staining,Uncertain
ENSG00000001631,,,Staining,Uncertain
ENSG00000002330,Mitochondria,,Staining,Supportive
ENSG00000002549,Cytoplasm,,APE,Medium
ENSG00000002586,Golgi apparatus,Plasma membrane,Staining,Uncertain
ENSG00000002587,Cytoplasm,,Staining,Supportive
ENSG00000002726,,,APE,N/A
ENSG00000002745,Cytoplasm;Mitochondria;Golgi apparatus,,Staining,Uncertain
ENSG00000002746,Nucleus but not nucleoli;Cytoplasm,,APE,High
ENSG00000002822,Nucleus;Cytoskeleton (Actin filaments),Cytoplasm;Mitochondria,Staining,Supportive
ENSG00000002834,Plasma membrane;Cytoplasm;Focal Adhesions,,Staining,Uncertain
ENSG00000002919,Cytoplasm,,Staining,Uncertain
ENSG00000002933,Mitochondria,,Staining,Uncertain
ENSG00000003137,Cytoplasm,,Staining,Uncertain
ENSG00000003147,Nucleus but not nucleoli;Cytoplasm,,Staining,Supportive
ENSG00000003249,Nucleus,Cytoplasm,Staining,Uncertain
ENSG00000003400,Golgi apparatus,Cytoplasm,Staining,Uncertain
ENSG00000003402,Nucleoli;Nucleus but not nucleoli;Plasma membrane;Cytoplasm,Cell Junctions,Staining,Uncertain
ENSG00000003509,Cytoplasm,,Staining,Uncertain
ENSG00000003756,Nucleus but not nucleoli,,APE,High
ENSG00000003987,Nucleus,,Staining,Uncertain
ENSG00000003989,Cytoplasm,,Staining,Supportive
ENSG00000004139,Golgi apparatus,,APE,Low
ENSG00000004455,Plasma membrane,Nucleus but not nucleoli,Staining,Non-supportive
ENSG00000004468,Vesicles,,APE,Low
ENSG00000004478,Cytoplasm,Nucleus but not nucleoli,Staining,Supportive
ENSG00000004534,Nucleus but not nucleoli,,APE,Medium
ENSG00000004660,Cytoplasm,,Staining,Uncertain
ENSG00000004700,Nucleus but not nucleoli,Cytoskeleton (Microtubules),Staining,Supportive
ENSG00000004766,Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000004777,Plasma membrane,Cytoplasm;Cytoskeleton (Actin filaments),APE,Low
ENSG00000004809,Nucleus;Nucleoli,,Staining,Uncertain
ENSG00000004838,Plasma membrane,Cytoplasm,Staining,Uncertain
ENSG00000004846,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000004864,Mitochondria,,Staining,Supportive
ENSG00000004866,Nucleus but not nucleoli,Cytoplasm,APE,Medium
ENSG00000004897,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000004939,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000004948,Centrosome,,Staining,Non-supportive
ENSG00000004961,Mitochondria,,Staining,Supportive
ENSG00000004975,Nucleus;Nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000005007,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000005073,Cytoplasm,Nucleoli,Staining,Supportive
ENSG00000005102,Nucleoli,,Staining,Supportive
ENSG00000005156,Nucleus,,Staining,Supportive
ENSG00000005175,Plasma membrane;Cytoplasm,Cytoskeleton (Intermediate filaments);Centrosome,APE,Low
ENSG00000005189,,,Staining,Uncertain
ENSG00000005194,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000005249,Centrosome,Cytoplasm;Mitochondria;Golgi apparatus,Staining,Uncertain
ENSG00000005302,Nucleus;Nucleoli,,APE,Medium
ENSG00000005379,Nucleoli,Mitochondria,APE,Very low
ENSG00000005421,Plasma membrane;Cytoplasm;Cytoskeleton (Microtubules),,Staining,Uncertain
ENSG00000005448,,,Staining,Uncertain
ENSG00000005469,Vesicles,,APE,Medium
ENSG00000005700,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000005801,Nucleus,Cytoplasm;Vesicles,Staining,Uncertain
ENSG00000005810,Cytoplasm,,Staining,Non-supportive
ENSG00000005882,Nucleus but not nucleoli;Mitochondria,Cytoplasm,Staining,Supportive
ENSG00000005889,Nucleus but not nucleoli,,APE,Medium
ENSG00000005893,Cytoskeleton (Intermediate filaments),,APE,Very low
ENSG00000005955,,,Staining,Uncertain
ENSG00000005961,Cytoplasm,,Staining,Uncertain
ENSG00000006015,Plasma membrane,Cytoplasm,Staining,Uncertain
ENSG00000006016,Plasma membrane,Cytoplasm,APE,High
ENSG00000006025,Mitochondria,,Staining,Uncertain
ENSG00000006042,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000006062,Nucleus but not nucleoli;Cytoplasm;Vesicles,,APE,Low
ENSG00000006114,Cytoplasm,Nucleus but not nucleoli,APE,Medium
ENSG00000006128,Cytoplasm;Golgi apparatus,Nucleus but not nucleoli;Plasma membrane,Staining,Uncertain
ENSG00000006194,Nucleus;Cytoplasm,Cytoskeleton (Microtubules),APE,High
ENSG00000006210,Mitochondria,Plasma membrane,Staining,Uncertain
ENSG00000006282,Nucleus,,APE,Medium
ENSG00000006283,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000006327,Golgi apparatus;Cytoskeleton (Microtubules),Plasma membrane;Cytoplasm,APE,Very low
ENSG00000006377,Nucleus but not nucleoli;Vesicles,,Staining,Uncertain
ENSG00000006453,Plasma membrane,Cytoplasm,APE,High
ENSG00000006459,Nucleus but not nucleoli,Nucleoli,Staining,Supportive
ENSG00000006530,Nucleus but not nucleoli;Cytoplasm,,Staining,Non-supportive
ENSG00000006555,Nucleus but not nucleoli,Plasma membrane,Staining,Uncertain
ENSG00000006607,Nucleus,,Staining,Uncertain
ENSG00000006611,Cytoskeleton (Intermediate filaments),Cytoplasm,Staining,Uncertain
ENSG00000006625,Golgi apparatus,,APE,Low
ENSG00000006652,Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000006695,Nucleus but not nucleoli,Plasma membrane,Staining,Non-supportive
ENSG00000006704,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000006715,Nucleus but not nucleoli,Mitochondria;Golgi apparatus,APE,Low
ENSG00000006740,Nuclear membrane;Cytoplasm,Plasma membrane;Cytoskeleton (Actin filaments),Staining,Uncertain
ENSG00000006744,Nucleus but not nucleoli,Mitochondria,Staining,Uncertain
ENSG00000006747,Cytoplasm,,APE,High
ENSG00000006756,Nucleus but not nucleoli,Mitochondria,Staining,Uncertain
ENSG00000006757,Cytoplasm,,Staining,Uncertain
ENSG00000006831,Nucleoli,,Staining,Uncertain
ENSG00000006837,Nucleus but not nucleoli,Cytoplasm;Golgi apparatus;Vesicles,APE,Low
ENSG00000007001,Nucleus,Mitochondria;Vesicles,APE,Low
ENSG00000007038,Cytoplasm,,Staining,Supportive
ENSG00000007047,Cytoplasm,,Staining,Uncertain
ENSG00000007062,Cytoplasm;Centrosome,,APE,Very low
ENSG00000007129,,,Staining,Uncertain
ENSG00000007168,Centrosome,Nucleus but not nucleoli;Cytoplasm,Staining,Supportive
ENSG00000007174,Cytoplasm,,Staining,Uncertain
ENSG00000007202,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000007216,Nucleus,Cytoplasm,Staining,Uncertain
ENSG00000007255,,,Staining,Uncertain
ENSG00000007264,Nucleus but not nucleoli;Cytoplasm,,Staining,Supportive
ENSG00000007312,Nucleus but not nucleoli;Plasma membrane;Cytoplasm,,APE,Medium
ENSG00000007341,Cytoplasm,,Staining,Uncertain
ENSG00000007350,,,Staining,Uncertain
ENSG00000007372,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000007376,Nucleus;Cytoplasm;Golgi apparatus,Cell Junctions,APE,Very low
ENSG00000007402,Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000007541,Nucleus but not nucleoli;Plasma membrane;Cytoplasm;Vesicles,,APE,Very low
ENSG00000007545,Nucleus;Nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000007866,Nucleus,,Staining,Supportive
ENSG00000007908,,,Staining,Uncertain
ENSG00000007923,Cytoplasm,,Staining,Uncertain
ENSG00000007933,Nucleus but not nucleoli,Cytoplasm;Cytoskeleton (Actin filaments),APE,Very low
ENSG00000007952,Mitochondria,,Staining,Uncertain
ENSG00000008018,Plasma membrane;Cell Junctions,,APE,Low
ENSG00000008056,Nucleus but not nucleoli;Cytoplasm,,Staining,Non-supportive
ENSG00000008083,,,Staining,Uncertain
ENSG00000008086,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000008128,Nucleus,Cytoplasm,Staining,Supportive
ENSG00000008196,Nucleus but not nucleoli;Vesicles,,Staining,Uncertain
ENSG00000008226,Cytoplasm,,Staining,Supportive
ENSG00000008256,Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000008282,,,Staining,Uncertain
ENSG00000008283,Nucleoli,,Staining,Uncertain
ENSG00000008294,Cytoplasm,,Staining,Supportive
ENSG00000008311,Mitochondria;Vesicles,,APE,High
ENSG00000008323,,,Staining,Uncertain
ENSG00000008394,Mitochondria,Endoplasmic reticulum,Staining,Uncertain
ENSG00000008517,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000008735,Nucleus,,Staining,Non-supportive
ENSG00000008838,Cytoskeleton (Microtubules),,Staining,Uncertain
ENSG00000008869,Nucleus;Nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000008952,Endoplasmic reticulum,Cytoskeleton (Intermediate filaments);Aggresome,Staining,Supportive
ENSG00000008988,Cytoplasm,,Staining,Supportive
ENSG00000009307,Cytoplasm,Cytoskeleton (Intermediate filaments),Staining,Uncertain
ENSG00000009335,Mitochondria,Nucleus but not nucleoli;Plasma membrane;Cytoplasm,Staining,Uncertain
ENSG00000009724,Golgi apparatus,Nucleus but not nucleoli,APE,Medium
ENSG00000009780,,,Staining,Uncertain
ENSG00000009790,Vesicles,,Staining,Uncertain
ENSG00000009830,Nucleus,Nucleoli;Cytoplasm;Vesicles,Staining,Non-supportive
ENSG00000009844,Mitochondria,Nucleus but not nucleoli;Cytoplasm,Staining,Uncertain
ENSG00000010030,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000010072,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000010165,Cytoplasm,,Staining,Uncertain
ENSG00000010219,Golgi apparatus,,Staining,Supportive
ENSG00000010244,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000010256,Mitochondria,Cytoplasm,APE,Medium
ENSG00000010278,Plasma membrane,,Staining,Supportive
ENSG00000010292,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000010318,Nucleus but not nucleoli;Golgi apparatus,Plasma membrane;Cytoplasm,Staining,Supportive
ENSG00000010319,,,Staining,Uncertain
ENSG00000010322,Nucleus but not nucleoli;Cytoplasm,Cytoskeleton (Microtubules),Staining,Non-supportive
ENSG00000010327,Cytoplasm,,Staining,Uncertain
ENSG00000010361,,,Staining,Uncertain
ENSG00000010539,Mitochondria,,Staining,Uncertain
ENSG00000010610,Plasma membrane,,Staining,Supportive
ENSG00000010626,Nucleoli,Plasma membrane,Staining,Uncertain
ENSG00000010671,Vesicles,,Staining,Uncertain
ENSG00000010704,Nuclear membrane;Mitochondria,,Staining,Uncertain
ENSG00000010810,,,Staining,Uncertain
ENSG00000010932,Nucleoli,Nucleus but not nucleoli,Staining,Non-supportive
ENSG00000011007,Nucleus,,Staining,Uncertain
ENSG00000011021,Plasma membrane;Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000011052,Nucleus but not nucleoli;Plasma membrane;Cytoplasm,,APE,Medium
ENSG00000011083,Cytoplasm,,Staining,Uncertain
ENSG00000011105,Nucleus but not nucleoli;Cytoplasm;Golgi apparatus,,Staining,Uncertain
ENSG00000011132,Vesicles,,Staining,Uncertain
ENSG00000011143,Cytoskeleton (Intermediate filaments),,Staining,Uncertain
ENSG00000011198,Nucleus;Cytoplasm,Nucleus but not nucleoli;Golgi apparatus,Staining,Uncertain
ENSG00000011258,Nucleus,Cytoplasm;Golgi apparatus,Staining,Uncertain
ENSG00000011275,Cytoplasm,Nucleus but not nucleoli,APE,High
ENSG00000011295,Cytoplasm,,Staining,Uncertain
ENSG00000011347,,,Staining,Uncertain
ENSG00000011376,Nucleoli;Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000011405,Nucleus,,APE,Low
ENSG00000011451,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000011478,,,Staining,Uncertain
ENSG00000011485,Cytoplasm;Golgi apparatus,,Staining,Supportive
ENSG00000011523,,,Staining,Uncertain
ENSG00000011566,Centrosome,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000011600,Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000011638,Vesicles,,Staining,Uncertain
ENSG00000012048,Plasma membrane;Cytoplasm,,Staining,Uncertain
ENSG00000012061,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000012124,Nucleus,Cytoplasm,APE,Very low
ENSG00000012232,Nucleus but not nucleoli;Nuclear membrane,,Staining,Non-supportive
ENSG00000012822,Cytoplasm,Vesicles,APE,Medium
ENSG00000012963,Nucleus,,Staining,Uncertain
ENSG00000012983,Cytoplasm,Plasma membrane,Staining,Supportive
ENSG00000013275,Nucleus;Cytoplasm,Mitochondria,APE,Medium
ENSG00000013288,Nucleoli,Nucleus,Staining,Uncertain
ENSG00000013297,Nucleus,Cytoplasm,Staining,Non-supportive
ENSG00000013306,Nucleus but not nucleoli;Mitochondria,,Staining,Uncertain
ENSG00000013364,Vesicles,Cytoplasm,Staining,Supportive
ENSG00000013375,Nucleus but not nucleoli;Cytoplasm,Cytoskeleton (Intermediate filaments);Cytoskeleton (Microtubules);Aggresome,APE,Medium
ENSG00000013392,Nucleus but not nucleoli;Cytoplasm,,APE,High
ENSG00000013503,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000013523,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000013561,Cytoplasm,,Staining,Supportive
ENSG00000013588,Plasma membrane;Golgi apparatus,,Staining,Supportive
ENSG00000013725,,,APE,N/A
ENSG00000013810,Cytoplasm;Centrosome,,Staining,Supportive
ENSG00000014123,Endoplasmic reticulum,Nucleus but not nucleoli,Staining,Supportive
ENSG00000014138,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000014164,Golgi apparatus,Cytoplasm,Staining,Uncertain
ENSG00000014216,Cytoplasm,,Staining,Supportive
ENSG00000014257,,,Staining,Uncertain
ENSG00000014641,Centrosome,Cytoplasm,Staining,Supportive
ENSG00000014824,Mitochondria,Cytoplasm,Staining,Non-supportive
ENSG00000014914,Centrosome,,Staining,Uncertain
ENSG00000014919,,,APE,N/A
ENSG00000015133,Nucleus;Nucleoli,,Staining,Uncertain
ENSG00000015153,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000015171,Nucleus,Cytoplasm,APE,Medium
ENSG00000015285,Nucleus,,Staining,Non-supportive
ENSG00000015413,Cytoplasm,,Staining,Non-supportive
ENSG00000015475,Cytoplasm,,Staining,Uncertain
ENSG00000015479,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000015520,,,Staining,Uncertain
ENSG00000015532,Nucleus;Cytoplasm,,Staining,Uncertain
ENSG00000015592,Golgi apparatus;Vesicles,Nucleoli,Staining,Uncertain
ENSG00000015676,Plasma membrane;Cytoplasm,Nucleus,APE,Low
ENSG00000016391,,,Staining,Uncertain
ENSG00000016402,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000016602,,,Staining,Uncertain
ENSG00000016864,Mitochondria,,Staining,Supportive
ENSG00000017260,Cytoplasm,Nucleoli,Staining,Non-supportive
ENSG00000017373,,,Staining,Uncertain
ENSG00000017621,Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000018189,Cytoplasm,,Staining,Uncertain
ENSG00000018236,Vesicles,,Staining,Uncertain
ENSG00000018408,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000018510,Plasma membrane;Vesicles,,APE,Medium
ENSG00000018610,Nucleus;Nucleoli;Mitochondria,,APE,Low
ENSG00000018699,Mitochondria,Nucleoli,Staining,Uncertain
ENSG00000018869,Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000019102,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000019144,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000019582,Golgi apparatus,,APE,Low
ENSG00000019995,Cytoskeleton (Actin filaments),,Staining,Non-supportive
ENSG00000020129,,,Staining,Uncertain
ENSG00000020181,,,Staining,Uncertain
ENSG00000020256,Nucleus;Nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000020426,Vesicles,Nucleus;Cytoplasm,Staining,Supportive
ENSG00000020922,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000021355,Nucleoli;Mitochondria,Cytoplasm,Staining,Uncertain
ENSG00000021488,Vesicles,,Staining,Uncertain
ENSG00000021574,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000021645,Nucleus but not nucleoli,Cytoplasm,Staining,Uncertain
ENSG00000021762,,,Staining,Uncertain
ENSG00000021826,Nucleoli,,Staining,Non-supportive
ENSG00000021852,,,Staining,Uncertain
ENSG00000022267,Cytoplasm,Plasma membrane,APE,Medium
ENSG00000022556,Nucleus;Nucleoli,Plasma membrane;Cytoplasm;Cytoskeleton (Actin filaments),Staining,Uncertain
ENSG00000022567,Plasma membrane,,Staining,Uncertain
ENSG00000022840,Nucleus but not nucleoli,Cytoplasm;Vesicles,Staining,Uncertain
ENSG00000023041,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000023171,Nucleus;Nucleoli,,Staining,Uncertain
ENSG00000023191,Cytoplasm,,APE,High
ENSG00000023330,Nucleus but not nucleoli;Mitochondria,Cytoplasm,Staining,Supportive
ENSG00000023445,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000023516,Nucleoli;Cytoplasm,Plasma membrane,Staining,Supportive
ENSG00000023572,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000023734,Plasma membrane;Cytoplasm,Nucleus;Mitochondria;Cell Junctions,Staining,Supportive
ENSG00000023839,Cytoskeleton (Microtubules),Vesicles,Staining,Uncertain
ENSG00000023892,Nucleus but not nucleoli,,APE,Medium
ENSG00000023909,Plasma membrane;Cytoplasm,Nucleus but not nucleoli;Focal Adhesions,APE,Medium
ENSG00000024048,Nucleus but not nucleoli;Plasma membrane,,APE,High
ENSG00000025156,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000025293,Nucleus but not nucleoli;Cytoplasm,Nuclear membrane,APE,Very low
ENSG00000025708,Vesicles,,Staining,Uncertain
ENSG00000025772,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000025800,Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000026025,Cytoskeleton (Intermediate filaments),,Staining,Supportive
ENSG00000026103,Plasma membrane;Cytoplasm,Nucleus,Staining,Supportive
ENSG00000026297,Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000026508,Plasma membrane,Golgi apparatus,APE,High
ENSG00000026559,Vesicles,,APE,High
ENSG00000026751,,,Staining,Uncertain
ENSG00000026950,Cytoskeleton (Intermediate filaments);Aggresome,Vesicles,Staining,Uncertain
ENSG00000027001,Mitochondria,,APE,High
ENSG00000027075,Cytoplasm,Plasma membrane,Staining,Non-supportive
ENSG00000027644,Mitochondria,Plasma membrane;Cytoplasm,Staining,Uncertain
ENSG00000027697,Vesicles,Cytoplasm,Staining,Uncertain
ENSG00000028137,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000028203,Nucleus but not nucleoli,Cytoplasm,APE,Low
ENSG00000028310,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000029363,Nucleus,,APE,Medium
ENSG00000029364,Nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000029534,Cytoplasm,Nucleus;Nucleoli,Staining,Uncertain
ENSG00000029725,Cytoplasm,Nucleoli;Cytoskeleton (Actin filaments);Centrosome,APE,Low
ENSG00000030582,Vesicles,,APE,High
ENSG00000031003,Vesicles,,Staining,Uncertain
ENSG00000031081,Nucleus but not nucleoli;Cytoplasm;Golgi apparatus,,Staining,Uncertain
ENSG00000031698,Cytoplasm,,Staining,Supportive
ENSG00000031823,Nucleus,Cytoplasm,Staining,Supportive
ENSG00000032389,Nucleus;Cytoplasm,Nucleoli;Centrosome,APE,Very low
ENSG00000032444,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000033030,Nucleus but not nucleoli,,APE,High
ENSG00000033050,Nucleoli;Nucleus but not nucleoli;Cytoplasm,Mitochondria,APE,Very low
ENSG00000033100,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000033122,Cytoplasm,Nucleoli;Nucleus but not nucleoli;Plasma membrane;Centrosome,APE,Very low
ENSG00000033178,,,Staining,Uncertain
ENSG00000033627,Nucleus but not nucleoli;Golgi apparatus;Vesicles,Cytoplasm,Staining,Supportive
ENSG00000033867,,,Staining,Uncertain
ENSG00000034239,Nucleus but not nucleoli,Cytoplasm;Mitochondria,Staining,Uncertain
ENSG00000034533,Endoplasmic reticulum,,APE,Low
ENSG00000034693,Nucleus but not nucleoli;Vesicles,,Staining,Supportive
ENSG00000034713,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000034971,Golgi apparatus,Nucleus but not nucleoli;Cytoplasm,Staining,Uncertain
ENSG00000035115,Nucleus,,APE,Low
ENSG00000035141,Mitochondria,Nucleoli;Cytoplasm;Focal Adhesions,APE,Medium
ENSG00000035403,Mitochondria,,Staining,Non-supportive
ENSG00000035499,Golgi apparatus,Nucleus but not nucleoli;Cytoplasm,Staining,Uncertain
ENSG00000035681,Nucleoli,Nucleus;Cytoplasm;Golgi apparatus,APE,Low
ENSG00000035687,Cytoplasm,Plasma membrane,Staining,Supportive
ENSG00000035720,Nucleus but not nucleoli;Vesicles,,Staining,Supportive
ENSG00000036054,Golgi apparatus,,APE,Low
ENSG00000036448,Mitochondria,,APE,Medium
ENSG00000036473,Mitochondria,,Staining,Supportive
ENSG00000036530,,,Staining,Uncertain
ENSG00000036565,Cytoskeleton (Microtubules),,Staining,Non-supportive
ENSG00000036672,Plasma membrane;Cytoplasm,,APE,Medium
ENSG00000036828,Nucleus but not nucleoli;Cytoplasm,,Staining,Non-supportive
ENSG00000037241,Cytoplasm,Nucleoli,Staining,Uncertain
ENSG00000037474,Nucleus,,Staining,Supportive
ENSG00000037637,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000037897,Nucleus but not nucleoli,Cytoplasm;Vesicles,Staining,Supportive
ENSG00000038002,Nucleus;Vesicles;Cytoskeleton (Microtubules),Cytoskeleton (Intermediate filaments),APE,Very low
ENSG00000038210,Cytoplasm,,Staining,Supportive
ENSG00000038219,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000038274,,,Staining,Uncertain
ENSG00000038382,,,Staining,Uncertain
ENSG00000038532,Nucleoli,Cytoplasm;Cytoskeleton (Actin filaments),Staining,Uncertain
ENSG00000038945,,,Staining,Uncertain
ENSG00000039068,Plasma membrane;Focal Adhesions,Cytoplasm;Aggresome,Staining,Supportive
ENSG00000039123,Nucleus,,Staining,Supportive
ENSG00000039139,Nucleus,Nucleoli,APE,Very low
ENSG00000039319,Cytoplasm;Vesicles,,APE,High
ENSG00000039523,Golgi apparatus,Cytoplasm,Staining,Uncertain
ENSG00000039560,Cytoplasm,Nucleus but not nucleoli;Cytoskeleton (Actin filaments),Staining,Uncertain
ENSG00000039600,Cytoplasm,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000039650,Nucleoli,Nucleus but not nucleoli,Staining,Supportive
ENSG00000040341,Cytoplasm;Vesicles,,Staining,Uncertain
ENSG00000041353,Plasma membrane;Golgi apparatus,Cytoplasm,Staining,Supportive
ENSG00000041515,Nucleus,Nucleoli;Cytoplasm,Staining,Supportive
ENSG00000041802,Cytoplasm,Nucleus,Staining,Supportive
ENSG00000041982,Nucleus;Focal Adhesions,Cytoplasm,Staining,Uncertain
ENSG00000041988,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000042286,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000042304,Nucleus;Nucleoli,,Staining,Uncertain
ENSG00000042317,Cytoplasm,,Staining,Uncertain
ENSG00000042445,Cytoplasm,,Staining,Uncertain
ENSG00000042493,Nucleus,Nucleoli;Cytoplasm,APE,Low
ENSG00000043093,Nucleus,Cytoplasm,Staining,Uncertain
ENSG00000043143,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000043462,,,Staining,Uncertain
ENSG00000043514,Nucleus but not nucleoli;Cytoplasm,Plasma membrane,Staining,Uncertain
ENSG00000044090,Nucleus,Cytoplasm,APE,Medium
ENSG00000044459,Mitochondria,Centrosome,Staining,Supportive
ENSG00000044574,Cytoplasm,,Staining,Non-supportive
ENSG00000046604,Plasma membrane,,Staining,Supportive
ENSG00000046647,Nucleus but not nucleoli,Cytoplasm,Staining,Supportive
ENSG00000046651,Cytoskeleton (Microtubules),,Staining,Supportive
ENSG00000046653,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000046889,Nucleus but not nucleoli,,Staining,Uncertain
ENSG00000047056,Cytoplasm;Cytoskeleton (Intermediate filaments);Centrosome,,APE,Very low
ENSG00000047188,Cytoplasm,,Staining,Uncertain
ENSG00000047230,Nucleus but not nucleoli;Cytoplasm,,Staining,Uncertain
ENSG00000047249,Cytoskeleton (Actin filaments),Cytoplasm,Staining,Uncertain
ENSG00000047315,Nucleus but not nucleoli,,Staining,Supportive
ENSG00000047346,Nucleus but not nucleoli;Cytoplasm,,APE,Very low
ENSG00000047365,Nucleus but not nucleoli;Focal Adhesions,Cytoplasm;Cytoskeleton (Actin filaments),Staining,Uncertain
ENSG00000047410,Nuclear membrane,,APE,High
ENSG00000047457,Cytoplasm,,Staining,Uncertain
ENSG00000047578,Nucleus but not nucleoli,Plasma membrane,APE,Medium
ENSG00000047579,Cytoskeleton (Microtubules),,Staining,Non-supportive
ENSG00000047597,Mitochondria;Vesicles,Nucleus but not nucleoli,Staining,Uncertain
ENSG00000047617,Plasma membrane,Nucleus but not nucleoli,Staining,Supportive
ENSG00000047621,Nucleus,Cytoplasm,Staining,Uncertain
ENSG00000047634,Nucleus,Nucleoli;Golgi apparatus,APE,Very low
ENSG00000047644,Cytoplasm,Golgi apparatus;Cytoskeleton (Actin filaments),Staining,Uncertain
ENSG00000047648,Nucleus but not nucleoli,,Staining,Non-supportive
ENSG00000047849,Plasma membrane;Cytoplasm,Cytoskeleton (Microtubules),APE,High
ENSG00000047932,Golgi apparatus,,APE,High
ENSG00000048028,Nucleus,Nucleoli,APE,High
